CUI,HGNC ID
C1332100,HGNC:24036
C1332101,HGNC:586
C1332102,HGNC:587
C1332104,HGNC:622
C1332105,HGNC:20418
C1332109,HGNC:651
C1332110,HGNC:681
C1332111,HGNC:13209
C1332112,HGNC:686
C1332114,HGNC:15461
C1332115,HGNC:16876
C1332116,HGNC:700
C1332117,HGNC:711
C1332118,HGNC:17364
C1332119,HGNC:784
C1332120,HGNC:882
C1332121,HGNC:890
C1332122,HGNC:895
C1332123,HGNC:896
C1332124,HGNC:897
C1332125,HGNC:903
C1332126,HGNC:904
C1332127,HGNC:913
C1332371,HGNC:937
C1332372,HGNC:940
C1332373,HGNC:941
C1332374,HGNC:943
C1332375,HGNC:944
C1332376,HGNC:945
C1332378,HGNC:947
C1332379,HGNC:949
C1332380,HGNC:950
C1332381,HGNC:952
C1332386,HGNC:973
C1332387,HGNC:974
C1332388,HGNC:975
C1332389,HGNC:14347
C1332390,HGNC:14367
C1332397,HGNC:992
C1332398,HGNC:995
C1332399,HGNC:1001
C1332400,HGNC:1004
C1332402,HGNC:1008
C1332407,HGNC:1030
C1332408,HGNC:1033
C1332409,HGNC:13652
C1332410,HGNC:1050
C1332411,HGNC:1051
C1332412,HGNC:1052
C1332413,HGNC:7634
C1332414,HGNC:590
C1332415,HGNC:591
C1332416,HGNC:593
C1332417,HGNC:13516
C1332418,HGNC:13702
C1332419,HGNC:1057
C1332420,HGNC:14211
C1332421,HGNC:1060
C1332422,HGNC:20869
C1332423,HGNC:1068
C1332424,HGNC:1069
C1332425,HGNC:1070
C1332426,HGNC:1072
C1332427,HGNC:1073
C1332428,HGNC:1074
C1332430,HGNC:1076
C1332431,HGNC:1078
C1332433,HGNC:1079
C1332435,HGNC:1085
C1332436,HGNC:1094
C1332438,HGNC:18617
C1332447,HGNC:24133
C1332448,HGNC:11551
C1332449,HGNC:17298
C1332450,HGNC:17262
C1332451,HGNC:1113
C1332452,HGNC:17307
C1332453,HGNC:1121
C1332455,HGNC:1148
C1332656,HGNC:1318
C1332658,HGNC:16805
C1332659,HGNC:1442
C1332660,HGNC:1471
C1332661,HGNC:1500
C1332662,HGNC:1503
C1332664,HGNC:1506
C1332665,HGNC:1507
C1332666,HGNC:1508
C1332667,HGNC:1509
C1332668,HGNC:1511
C1332669,HGNC:1527
C1332670,HGNC:1528
C1332671,HGNC:1539
C1332672,HGNC:1542
C1332673,HGNC:1565
C1332675,HGNC:1571
C1332676,HGNC:10610
C1332677,HGNC:10611
C1332678,HGNC:10612
C1332679,HGNC:10613
C1332680,HGNC:10615
C1332681,HGNC:10616
C1332682,HGNC:10617
C1332683,HGNC:10609
C1332684,HGNC:10620
C1332685,HGNC:10621
C1332686,HGNC:10622
C1332687,HGNC:10623
C1332688,HGNC:10624
C1332689,HGNC:10628
C1332690,HGNC:10627
C1332691,HGNC:10632
C1332692,HGNC:10634
C1332693,HGNC:10635
C1332694,HGNC:1578
C1332695,HGNC:1579
C1332696,HGNC:1580
C1332697,HGNC:1589
C1332698,HGNC:1590
C1332699,HGNC:1602
C1332700,HGNC:1606
C1332701,HGNC:1607
C1332702,HGNC:1609
C1332703,HGNC:1610
C1332704,HGNC:1611
C1332705,HGNC:1612
C1332707,HGNC:1641
C1332708,HGNC:1643
C1332709,HGNC:1653
C1332710,HGNC:1662
C1332711,HGNC:1674
C1332712,HGNC:1681
C1332713,HGNC:1682
C1332714,HGNC:1678
C1332715,HGNC:1688
C1332716,HGNC:1696
C1332718,HGNC:1711
C1332719,HGNC:1725
C1332720,HGNC:1729
C1332721,HGNC:1722
C1332722,HGNC:1735
C1332724,HGNC:1739
C1332725,HGNC:1744
C1332727,HGNC:1745
C1332728,HGNC:1753
C1332729,HGNC:1764
C1332730,HGNC:1770
C1332732,HGNC:14002
C1332733,HGNC:1771
C1332734,HGNC:1772
C1332735,HGNC:1774
C1332736,HGNC:1782
C1332737,HGNC:1785
C1332738,HGNC:1789
C1332739,HGNC:1791
C1332740,HGNC:17104
C1332741,HGNC:1798
C1332742,HGNC:24576
C1332743,HGNC:1806
C1332744,HGNC:1817
C1332745,HGNC:1819
C1332749,HGNC:24368
C1332750,HGNC:1836
C1332751,HGNC:1850
C1332752,HGNC:1857
C1332753,HGNC:1925
C1332754,HGNC:1929
C1332755,HGNC:1930
C1332757,HGNC:1937
C1332758,HGNC:1950
C1332759,HGNC:1952
C1332760,HGNC:1953
C1332761,HGNC:1954
C1332762,HGNC:1984
C1332763,HGNC:1991
C1332764,HGNC:2016
C1332765,HGNC:2014
C1332766,HGNC:13518
C1332767,HGNC:2121
C1332768,HGNC:19700
C1332770,HGNC:8011
C1332771,HGNC:2195
C1332772,HGNC:2197
C1332773,HGNC:2198
C1332774,HGNC:2204
C1332775,HGNC:2208
C1332776,HGNC:2285
C1332777,HGNC:2289
C1332778,HGNC:2320
C1332780,HGNC:2350
C1332781,HGNC:2370
C1332782,HGNC:2372
C1332784,HGNC:2375
C1332785,HGNC:2376
C1332786,HGNC:2377
C1332787,HGNC:2378
C1332788,HGNC:18292
C1332789,HGNC:2432
C1332790,HGNC:2436
C1332791,HGNC:2434
C1332792,HGNC:2439
C1332793,HGNC:2438
C1332794,HGNC:2444
C1332795,HGNC:2451
C1332796,HGNC:2457
C1332797,HGNC:2466
C1332798,HGNC:2482
C1332799,HGNC:2494
C1332800,HGNC:2495
C1332801,HGNC:2499
C1332802,HGNC:2505
C1332803,HGNC:2514
C1332804,HGNC:2527
C1332805,HGNC:2529
C1332806,HGNC:2535
C1332807,HGNC:2537
C1332808,HGNC:2547
C1332809,HGNC:2551
C1332810,HGNC:2552
C1332811,HGNC:2553
C1332812,HGNC:2554
C1332813,HGNC:2556
C1332814,HGNC:10647
C1332816,HGNC:10638
C1332817,HGNC:10672
C1332818,HGNC:10640
C1332819,HGNC:10642
C1332820,HGNC:10643
C1332821,HGNC:7098
C1332822,HGNC:4540
