GO,CUI
GO:0043060,C1326320
GO:0043061,C1326321
GO:0006977,C1326322
GO:0048142,C1326323
GO:0048132,C1326325
GO:0048133,C1326327
GO:0010070,C1326328
GO:0010069,C1326329
GO:0000917,C1326330
GO:0140278,C1326330
GO:0000918,C1326331
GO:0043093,C1326332
GO:0000920,C1326333
GO:0000919,C1326334
GO:0000914,C1326335
GO:0000913,C1326336
GO:0000916,C1326337
GO:0000912,C1326338
GO:0000915,C1326339
GO:0000921,C1326340
GO:0050673,C1326341
GO:0050678,C1326342
GO:0050680,C1326343
GO:0050676,C1326344
GO:0050675,C1326345
GO:0050674,C1326346
GO:0048144,C1326347
GO:0048145,C1326348
GO:0048147,C1326349
GO:0048146,C1326350
GO:0001833,C1326351
GO:0048103,C1326352
GO:0001834,C1326353
GO:0048236,C1326354
GO:0042886,C1326355
GO:0043090,C1326356
GO:0042940,C1326359
GO:0042941,C1326360
GO:0042942,C1326361
GO:0042883,C1326362
GO:0001762,C1326363
GO:0042968,C1326364
GO:0042949,C1326365
GO:0042869,C1326366
GO:1902300,C1326367
GO:0042870,C1326368
GO:0042873,C1326369
GO:0042875,C1326370
GO:0042874,C1326371
GO:0042946,C1326372
GO:0042948,C1326373
GO:0042899,C1326374
GO:0042882,C1326375
GO:0015752,C1326376
GO:0015753,C1326377
GO:0042955,C1326378
GO:0042956,C1326379
GO:0042891,C1326380
GO:0042892,C1326381
GO:0042894,C1326382
GO:0042884,C1326383
GO:0042885,C1326384
GO:0042893,C1326385
GO:0010148,C1326386
GO:0048241,C1326387
GO:0042777,C1326388
GO:0042776,C1326389
GO:0010155,C1326390
GO:0030705,C1326391
GO:0046967,C1326392
GO:0048193,C1326393
GO:0048205,C1326395
GO:0048194,C1326396
GO:0048195,C1326397
GO:0048197,C1326398
GO:0048198,C1326399
GO:0048199,C1326400
GO:0048206,C1326401
GO:0048200,C1326402
GO:0048204,C1326404
GO:0048209,C1326405
GO:0048207,C1326406
GO:0048203,C1326407
GO:0048210,C1326408
GO:0048212,C1326409
GO:0048211,C1326410
GO:0048213,C1326411
GO:0048214,C1326412
GO:0048216,C1326413
GO:0048215,C1326414
GO:0048219,C1326415
GO:0043001,C1326416
GO:0043000,C1326417
GO:0042999,C1326418
GO:0043002,C1326419
GO:0043004,C1326420
GO:0043003,C1326421
GO:0042996,C1326422
GO:0042997,C1326423
GO:0042998,C1326424
GO:0046909,C1326427
GO:0048227,C1326428
GO:0046825,C1326429
GO:0046826,C1326430
GO:0046827,C1326431
GO:0035105,C1326432
GO:0042990,C1326433
GO:0042992,C1326434
GO:0042994,C1326435
GO:0003719,C1326435
GO:0042993,C1326436
GO:0035048,C1326437
GO:0042991,C1326438
GO:0048250,C1326439
GO:0046822,C1326440
GO:0046823,C1326441
GO:0046832,C1326442
GO:0046829,C1326443
GO:0046824,C1326444
GO:0046833,C1326445
GO:0046830,C1326446
GO:0046831,C1326447
GO:0046828,C1326448
GO:0042889,C1326449
GO:0042916,C1326450
GO:1990573,C1326452
GO:0046864,C1326453
GO:0046865,C1326454
GO:0046866,C1326455
GO:0046867,C1326456
GO:0042969,C1326457
GO:0046836,C1326458
GO:0050657,C1326459
GO:0010184,C1326460
GO:0042906,C1326461
GO:0046963,C1326462
GO:0015849,C1326463
GO:0046942,C1326464
GO:0042938,C1326465
GO:0046968,C1326466
GO:0042939,C1326467
GO:0042914,C1326468
GO:0042915,C1326469
GO:0042953,C1326470
GO:0017038,C1326471
GO:0015032,C1326472
GO:0006904,C1326473
GO:0005481,C1326474
GO:0006906,C1326474
GO:0005482,C1326475
GO:0006903,C1326475
GO:0048201,C1326476
GO:0042935,C1326477
GO:0042932,C1326478
GO:0050764,C1326479
GO:0050765,C1326480
GO:0050766,C1326481
GO:0048259,C1326482
GO:0048261,C1326483
GO:0048260,C1326484
GO:0006900,C1326485
GO:0006901,C1326486
GO:0042930,C1326487
GO:0042928,C1326488
GO:0048278,C1326489
GO:0048277,C1326490
GO:0048279,C1326491
GO:0048280,C1326492
GO:0042908,C1326493
GO:0042920,C1326494
GO:0042909,C1326495
GO:0042918,C1326496
GO:0042919,C1326497
GO:0007395,C1326498
GO:0050900,C1326500
GO:0048245,C1326501
GO:0048246,C1326502
GO:0001755,C1326503
GO:0001764,C1326504
GO:0043107,C1326505
GO:0001807,C1326507
GO:0001808,C1326508
GO:0001809,C1326509
GO:0010185,C1326510
GO:0010186,C1326511
GO:0046999,C1326512
GO:0048251,C1326513
GO:0050808,C1326514
GO:0048169,C1326515
GO:0048171,C1326516
GO:0048170,C1326517
GO:0010110,C1326518
GO:0010206,C1326519
GO:0010205,C1326520
GO:0010207,C1326521
GO:0010109,C1326522
GO:0043108,C1326523
GO:0010118,C1326524
GO:0010119,C1326525
GO:0043012,C1326526
GO:0043013,C1326527
GO:0050794,C1326528
GO:0010150,C1326530
GO:0001824,C1326531
GO:0001825,C1326532
GO:0001832,C1326533
GO:0001835,C1326534
GO:0043045,C1326535
GO:0043009,C1326536
GO:0046619,C1326538
GO:0001756,C1326539
GO:0001757,C1326540
GO:0001702,C1326541
GO:0010004,C1326544
GO:0010086,C1326545
GO:0010064,C1326546
GO:0010072,C1326547
GO:0010071,C1326548
GO:0010065,C1326549
GO:0010066,C1326550
GO:0010067,C1326551
GO:0010068,C1326552
GO:0010162,C1326553
GO:0048098,C1326554
GO:0035015,C1326555
GO:0035016,C1326556
GO:0043049,C1326557
GO:0010172,C1326558
GO:0048596,C1326559
GO:0048048,C1326559
GO:0001744,C1326561
GO:0030903,C1326563
GO:0001743,C1326564
GO:0045967,C1326565
GO:0040010,C1326566
GO:0040009,C1326567
GO:0007564,C1326572
GO:0045800,C1326573
GO:0045801,C1326574
GO:0035069,C1326575
GO:0035070,C1326576
GO:0035073,C1326577
GO:0035074,C1326578
GO:0035075,C1326579
GO:0010073,C1326580
GO:0010074,C1326581
GO:0010076,C1326582
GO:0010077,C1326583
GO:0010078,C1326584
GO:0010079,C1326585
GO:0010022,C1326586
GO:0010075,C1326587
GO:0010080,C1326588
GO:0010081,C1326589
GO:0010082,C1326590
GO:0010083,C1326591
GO:0010014,C1326592
GO:0010171,C1326593
GO:0040032,C1326594
GO:0007428,C1326596
GO:0007429,C1326597
GO:0007430,C1326598
GO:0048281,C1326599
GO:0048282,C1326600
GO:0048283,C1326601
GO:0001738,C1326602
GO:0030714,C1326603
GO:0008069,C1326604
GO:0008071,C1326605
GO:0048139,C1326606
GO:0030708,C1326607
GO:0048138,C1326608
GO:0048140,C1326609
GO:0010160,C1326610
GO:0009960,C1326611
GO:0001746,C1326615
GO:0048597,C1326618
GO:0048050,C1326618
GO:0042702,C1326619
GO:0042700,C1326620
GO:0001542,C1326621
GO:0035050,C1326622
GO:0010087,C1326624
GO:0010088,C1326625
GO:0010089,C1326626
GO:0048100,C1326627
GO:0048099,C1326628
GO:0048190,C1326629
GO:0009965,C1326630
GO:0030879,C1326631
GO:0050770,C1326632
GO:0050771,C1326633
GO:0050772,C1326634
GO:0048036,C1326635
GO:0030900,C1326636
GO:0030902,C1326637
GO:0030901,C1326638
GO:0048167,C1326639
GO:0048168,C1326640
GO:0048172,C1326641
GO:0048174,C1326642
GO:0048173,C1326643
GO:0050773,C1326644
GO:0050774,C1326645
GO:0050775,C1326646
GO:0050767,C1326647
GO:0050768,C1326648
GO:0050769,C1326649
GO:0042481,C1326650
GO:0042483,C1326651
GO:0042482,C1326652
GO:0048286,C1326653
GO:0010084,C1326654
GO:0010085,C1326655
GO:0010092,C1326656
GO:0010093,C1326657
GO:0010094,C1326658
GO:0010095,C1326659
GO:0010096,C1326660
GO:0010097,C1326661
GO:0010159,C1326662
GO:0010098,C1326663
GO:0030878,C1326664
GO:0035001,C1326665
GO:0035002,C1326666
GO:0007426,C1326667
GO:0001823,C1326668
GO:0030850,C1326669
GO:0048530,C1326670
GO:0010099,C1326671
GO:0010100,C1326672
GO:0010101,C1326673
GO:0010102,C1326674
GO:0010156,C1326675
GO:0048533,C1326675
GO:0010015,C1326676
GO:0010016,C1326677
GO:0010103,C1326678
GO:0035017,C1326693
GO:0035018,C1326694
GO:0048263,C1326696
GO:0048264,C1326697
GO:0007368,C1326698
GO:0030381,C1326699
GO:0010051,C1326701
GO:0048067,C1326703
GO:0048079,C1326708
GO:0048080,C1326709
GO:0048081,C1326710
GO:0048069,C1326711
GO:0048073,C1326716
GO:0048077,C1326717
GO:0048074,C1326717
GO:0048078,C1326718
GO:0048075,C1326718
GO:0048034,C1326719
GO:0048035,C1326720
GO:0048033,C1326721
GO:0048021,C1326722
GO:0048022,C1326723
GO:0048023,C1326724
GO:0035006,C1326725
GO:0035011,C1326726
GO:0035007,C1326727
GO:0035009,C1326728
GO:0035008,C1326729
GO:0048090,C1326732
GO:0048092,C1326733
GO:0048091,C1326735
GO:0048093,C1326736
GO:0048089,C1326737
GO:0048088,C1326738
GO:0048071,C1326739
GO:0048095,C1326740
GO:0048094,C1326741
GO:0010049,C1326742
GO:0009908,C1326743
GO:0042704,C1326746
GO:0010050,C1326747
GO:0043046,C1326749
GO:0042714,C1326750
GO:0016457,C1326751
GO:0042715,C1326752
GO:0035087,C1326753
GO:0000905,C1326754
GO:0000909,C1326755
GO:0035047,C1326756
GO:0035039,C1326757
GO:0035040,C1326758
GO:0035046,C1326759
GO:0035037,C1326760
GO:0035045,C1326761
GO:0035036,C1326762
GO:0009560,C1326763
GO:0007292,C1326763
GO:0007304,C1326764
GO:0030703,C1326764
GO:0007304,C1326765
GO:0046843,C1326766
GO:0046844,C1326767
GO:0007305,C1326768
GO:0030704,C1326769
GO:0048135,C1326771
GO:0030727,C1326772
GO:0007293,C1326775
GO:0007301,C1326778
GO:0007295,C1326779
GO:0007300,C1326780
GO:0008335,C1326781
GO:0030707,C1326782
GO:0030709,C1326783
GO:0030710,C1326784
GO:0030712,C1326785
GO:0030711,C1326786
GO:0007299,C1326787
GO:0048164,C1326790
GO:0048161,C1326791
GO:0048165,C1326792
GO:0048166,C1326793
GO:0048162,C1326794
GO:0048158,C1326795
GO:0048160,C1326796
GO:0048159,C1326797
GO:0048163,C1326798
GO:0010197,C1326800
GO:0010152,C1326803
GO:0010208,C1326804
GO:0048134,C1326805
GO:0048136,C1326806
GO:0048137,C1326807
GO:0048235,C1326808
GO:0048232,C1326808
GO:0030726,C1326809
GO:0048229,C1326810
GO:0030718,C1326813
GO:0035019,C1326814
GO:0008371,C1326815
GO:0046227,C1326816
GO:0046255,C1326817
GO:0046297,C1326818
GO:0046299,C1326819
GO:0046229,C1326820
GO:0046301,C1326821
GO:0046303,C1326822
GO:0046233,C1326823
GO:0046195,C1326824
GO:0046261,C1326825
GO:0046270,C1326826
GO:0046291,C1326827
GO:0031532,C1326829
GO:0007239,C1326830
GO:0030456,C1326831
GO:0007247,C1326832
GO:0030457,C1326833
GO:0007246,C1326834
GO:0030458,C1326835
GO:0007245,C1326836
GO:0007238,C1326837
GO:0007236,C1326838
GO:0007237,C1326839
GO:0007235,C1326840
GO:0006169,C1326841
GO:0006190,C1326841
GO:0043103,C1326841
GO:0010140,C1326841
GO:0006168,C1326841
GO:0001753,C1326842
GO:0018086,C1326843
GO:0019122,C1326843
GO:0015719,C1326844
GO:0006838,C1326844
GO:0015720,C1326844
GO:0046542,C1326845
GO:0046257,C1326846
GO:0046253,C1326847
GO:0017141,C1326848
GO:0046677,C1326848
GO:0017139,C1326849
GO:0046685,C1326849
GO:0019880,C1326851
GO:0046678,C1326851
GO:0007336,C1326852
GO:0007115,C1326853
GO:0019830,C1326857
GO:0046686,C1326857
GO:0008161,C1326858
GO:0046681,C1326858
GO:0016353,C1326859
GO:0046681,C1326859
GO:0046231,C1326860
GO:0019831,C1326862
GO:0046687,C1326862
GO:0045139,C1326864
GO:0046688,C1326864
GO:0046198,C1326865
GO:0008162,C1326866
GO:0046682,C1326866
GO:0016354,C1326867
GO:0046682,C1326867
GO:0008163,C1326868
GO:0046680,C1326868
GO:0016355,C1326869
GO:0046680,C1326869
GO:0009414,C1326870
GO:0009633,C1326870
GO:0009819,C1326870
GO:0016351,C1326871
GO:0042493,C1326871
GO:0009653,C1326872
GO:0007345,C1326872
GO:0009790,C1326872
GO:0046234,C1326873
GO:0018367,C1326874
GO:0009409,C1326875
GO:0009632,C1326875
GO:0033637,C1326875
GO:0045195,C1326876
GO:0042080,C1326877
GO:0042082,C1326877
GO:0006506,C1326877
GO:0006505,C1326878
GO:0042081,C1326878
GO:0006179,C1326879
GO:0006190,C1326879
GO:0006178,C1326879
GO:0010141,C1326879
GO:0043103,C1326879
GO:0009634,C1326880
GO:0010038,C1326880
GO:0019837,C1326881
GO:0009635,C1326881
GO:0009887,C1326882
GO:0007397,C1326882
GO:0009888,C1326882
GO:0007241,C1326883
GO:0030459,C1326884
GO:0000174,C1326885
GO:0006918,C1326886
GO:0006915,C1326886
GO:0048017,C1326887
GO:0019936,C1326887
GO:0048015,C1326887
GO:0016352,C1326888
GO:0017085,C1326888
GO:0018300,C1326889
GO:0018286,C1326890
GO:0008155,C1326892
GO:0044659,C1326893
GO:0030068,C1326893
GO:0019058,C1326893
GO:0046200,C1326894
GO:0046241,C1326895
GO:0030455,C1326896
GO:0007244,C1326897
GO:0019832,C1326898
GO:0046689,C1326898
GO:0006566,C1326899
GO:0006555,C1326899
GO:0046212,C1326900
GO:0030444,C1326901
GO:0007019,C1326901
GO:0007081,C1326902
GO:0000070,C1326902
GO:0046908,C1326903
GO:0050801,C1326903
GO:0042136,C1326904
GO:0042137,C1326904
GO:0001506,C1326904
GO:0046262,C1326905
GO:0007240,C1326907
GO:0030460,C1326908
GO:0007248,C1326909
GO:0046242,C1326911
GO:0008164,C1326913
GO:0046683,C1326913
GO:0016356,C1326914
GO:0046683,C1326914
GO:0006118,C1326915
GO:0006126,C1326915
GO:0022904,C1326915
GO:0046243,C1326916
GO:0046194,C1326917
GO:0042265,C1326918
GO:0006483,C1326918
GO:0042264,C1326918
GO:0006460,C1326919
GO:0003755,C1326919
GO:0046237,C1326920
GO:0008085,C1326922
GO:0007602,C1326922
GO:0009587,C1326923
GO:0007602,C1326923
GO:0046238,C1326924
GO:0018338,C1326925
GO:0018097,C1326925
GO:0018314,C1326926
GO:0008165,C1326927
GO:0046684,C1326927
GO:0016357,C1326928
GO:0046684,C1326928
GO:0000716,C1326930
GO:0006292,C1326930
GO:0000715,C1326930
GO:0046615,C1326932
GO:0009619,C1326933
GO:0009622,C1326934
GO:0001564,C1326935
GO:0001562,C1326935
GO:0000284,C1326936
GO:0000753,C1326936
GO:0008167,C1326937
GO:0019079,C1326937
GO:0006832,C1326938
GO:0006810,C1326938
GO:0006814,C1326939
GO:0006815,C1326939
GO:0006813,C1326939
GO:0019881,C1326940
GO:0046679,C1326940
GO:0046245,C1326941
GO:0019873,C1326942
GO:0046690,C1326942
GO:0006495,C1326944
GO:0046264,C1326945
GO:0046252,C1326946
GO:0046268,C1326947
GO:0017142,C1326948
GO:0009636,C1326948
GO:0046266,C1326949
GO:0046259,C1326950
GO:0007337,C1326951
GO:0046240,C1326953
GO:0050818,C1326954
GO:0050820,C1326956
GO:0043062,C1326957
GO:0043063,C1326958
GO:0030725,C1326959
GO:0042632,C1326960
GO:0042593,C1326961
GO:0050801,C1326962
GO:0050891,C1326963
GO:0050828,C1326964
GO:0042845,C1326965
GO:0019302,C1326966
GO:0042855,C1326967
GO:0042846,C1326968
GO:0019303,C1326969
GO:0042844,C1326970
GO:0042849,C1326971
GO:0042850,C1326972
GO:0042847,C1326973
GO:0042848,C1326974
GO:0006014,C1326975
GO:0042732,C1326976
GO:0042842,C1326977
GO:0042843,C1326978
GO:0042854,C1326979
GO:0042856,C1326980
GO:0009094,C1326981
GO:0046947,C1326982
GO:0042852,C1326983
GO:0019272,C1326984
GO:0019273,C1326985
GO:0006564,C1326986
GO:0046948,C1326987
GO:0010122,C1326988
GO:0010121,C1326989
GO:0010133,C1326990
GO:0019796,C1326991
GO:0042853,C1326992
GO:0019481,C1326993
GO:0019667,C1326994
GO:0019480,C1326996
GO:0006565,C1326997
GO:0043041,C1326998
GO:0043042,C1326999
GO:0043040,C1327000
GO:0043039,C1327001
GO:0006418,C1327001
GO:0006418,C1327002
GO:0043102,C1327003
GO:0006558,C1327004
GO:0046946,C1327005
GO:0046927,C1327006
GO:0042851,C1327007
GO:0006563,C1327008
GO:0050667,C1327009
GO:0050666,C1327010
GO:0050669,C1327011
GO:0050668,C1327012
GO:0050984,C1327013
GO:0050987,C1327014
GO:0050985,C1327015
GO:0050991,C1327016
GO:0010023,C1327017
GO:0009962,C1327018
GO:0009964,C1327019
GO:0009963,C1327020
GO:0050843,C1327021
GO:0050835,C1327022
GO:0010129,C1327023
GO:0042952,C1327024
GO:0010124,C1327025
GO:0010128,C1327026
GO:0010130,C1327027
GO:0046901,C1327028
GO:0046900,C1327029
GO:0010120,C1327030
GO:0043103,C1327031
GO:0043096,C1327032
GO:0043100,C1327033
GO:0050814,C1327034
GO:0042617,C1327035
GO:0050799,C1327036
GO:0071616,C1327037
GO:0050812,C1327038
GO:0042823,C1327039
GO:0010144,C1327040
GO:0010125,C1327041
GO:0010024,C1327042
GO:0042861,C1327043
GO:0042858,C1327044
GO:0042864,C1327045
GO:0007592,C1327046
GO:0042336,C1327047
GO:0050763,C1327048
GO:0048107,C1327049
GO:0042621,C1327050
GO:0046885,C1327051
GO:0046886,C1327052
GO:0046951,C1327053
GO:0010132,C1327054
GO:0010146,C1327055
GO:0010021,C1327056
GO:0009969,C1327057
GO:0050650,C1327058
GO:0050653,C1327059
GO:0050651,C1327060
GO:0050652,C1327061
GO:0010143,C1327062
GO:0042759,C1327063
GO:0042761,C1327064
GO:0010025,C1327065
GO:0050992,C1327066
GO:0010115,C1327068
GO:0010116,C1327069
GO:0043048,C1327070
GO:0050494,C1327071
GO:0050493,C1327072
GO:0046890,C1327073
GO:0046889,C1327074
GO:0050810,C1327075
GO:0030817,C1327076
GO:0030818,C1327077
GO:0030819,C1327078
GO:0030826,C1327079
GO:0030827,C1327080
GO:0030828,C1327081
GO:0030802,C1327082
GO:0030803,C1327083
GO:0030804,C1327084
GO:0050428,C1327085
GO:0030808,C1327086
GO:0030809,C1327087
GO:0030810,C1327088
GO:0042967,C1327089
GO:0042966,C1327090
GO:0050751,C1327091
GO:0050752,C1327092
GO:0050753,C1327093
GO:0050754,C1327094
GO:0048175,C1327095
GO:0048176,C1327096
GO:0048178,C1327097
GO:0048177,C1327098
GO:0050719,C1327099
GO:0050721,C1327100
GO:0050723,C1327101
GO:0050726,C1327102
GO:0050720,C1327103
GO:0050722,C1327104
GO:0050724,C1327105
GO:0050725,C1327106
GO:0043018,C1327107
GO:0043017,C1327108
GO:0043016,C1327109
GO:0042965,C1327110
GO:0042983,C1327111
GO:0042984,C1327112
GO:0042985,C1327113
GO:0042986,C1327114
GO:0046984,C1327115
GO:0046986,C1327116
GO:0046985,C1327117
GO:0046918,C1327118
GO:0050760,C1327119
GO:0050759,C1327120
GO:0050758,C1327121
GO:0048153,C1327122
GO:0048152,C1327123
GO:0006125,C1327124
GO:0042964,C1327124
GO:0050757,C1327125
GO:0010195,C1327127
GO:0035196,C1327127
GO:0046357,C1327128
GO:0042837,C1327129
GO:0042619,C1327130
GO:0042841,C1327131
GO:0019805,C1327132
GO:0043043,C1327133
GO:0042811,C1327134
GO:0010189,C1327135
GO:0042819,C1327136
GO:0042821,C1327137
GO:0010131,C1327138
GO:0010147,C1327139
GO:0046835,C1327140
GO:0046853,C1327141
GO:0052746,C1327141
GO:0046838,C1327142
GO:0046855,C1327143
GO:0010145,C1327144
GO:0050654,C1327145
GO:0050655,C1327146
GO:0042741,C1327147
GO:0042740,C1327148
GO:0042862,C1327149
GO:0042859,C1327150
GO:0042865,C1327151
GO:0050762,C1327152
GO:0001325,C1327153
GO:0042737,C1327154
GO:0050784,C1327155
GO:0042739,C1327156
GO:0042738,C1327157
GO:0046952,C1327158
GO:0042758,C1327159
GO:0042760,C1327160
GO:0042987,C1327161
GO:0042798,C1327162
GO:0009972,C1327164
GO:0030820,C1327165
GO:0030821,C1327166
GO:0030822,C1327167
GO:0030829,C1327168
GO:0030830,C1327169
GO:0030831,C1327170
GO:0030805,C1327171
GO:0030806,C1327172
GO:0030807,C1327173
GO:0030811,C1327174
GO:0030812,C1327175
GO:0030813,C1327176
GO:0043077,C1327177
GO:0042838,C1327178
GO:0042840,C1327179
GO:0030163,C1327180
GO:0042812,C1327180
GO:0042820,C1327181
GO:0050696,C1327182
GO:0042822,C1327183
GO:0010126,C1327184
GO:0042860,C1327185
GO:0042857,C1327186
GO:0042863,C1327187
GO:0050761,C1327188
GO:0050783,C1327189
GO:0042773,C1327190
GO:0042774,C1327191
GO:0042775,C1327192
GO:0006123,C1327193
GO:0006122,C1327194
GO:0010123,C1327195
GO:0042616,C1327196
GO:0042620,C1327197
GO:0042573,C1327198
GO:0042905,C1327199
GO:0042904,C1327200
GO:0042572,C1327201
GO:0046950,C1327202
GO:0048252,C1327203
GO:0010166,C1327204
GO:0050993,C1327205
GO:0010028,C1327206
GO:0046834,C1327207
GO:0046839,C1327209
GO:0046856,C1327210
GO:0030730,C1327211
GO:0048097,C1327212
GO:0043098,C1327214
GO:0006166,C1327215
GO:0010139,C1327216
GO:0043097,C1327217
GO:0043099,C1327218
GO:0010138,C1327219
GO:0050813,C1327220
GO:0050898,C1327221
GO:0050899,C1327222
GO:0010135,C1327223
GO:0010137,C1327224
GO:0010136,C1327225
GO:0030814,C1327226
GO:0030815,C1327227
GO:0030816,C1327228
GO:0030823,C1327229
GO:0030824,C1327230
GO:0030825,C1327231
GO:0030799,C1327232
GO:0030800,C1327233
GO:0030801,C1327234
GO:0050427,C1327235
GO:0046940,C1327236
GO:0046939,C1327237
GO:0048254,C1327238
GO:0042868,C1327239
GO:0035196,C1327240
GO:0000380,C1327242
GO:0000366,C1327243
GO:0000381,C1327244
GO:0000244,C1327245
GO:0000354,C1327246
GO:0000350,C1327247
GO:0000349,C1327248
GO:0000389,C1327249
GO:0000395,C1327250
GO:0000348,C1327251
GO:0000388,C1327252
GO:0000244,C1327254
GO:0000350,C1327255
GO:0000354,C1327257
GO:0000395,C1327258
GO:0000365,C1327259
GO:0045291,C1327260
GO:0000353,C1327261
GO:0000352,C1327262
GO:0048024,C1327263
GO:0048025,C1327264
GO:0048026,C1327265
GO:0000349,C1327266
GO:0000389,C1327267
GO:0000348,C1327268
GO:0048024,C1327271
GO:0048025,C1327272
GO:0048026,C1327273
GO:0000393,C1327274
GO:0000349,C1327275
GO:0000350,C1327276
GO:0000388,C1327277
GO:0000387,C1327278
GO:0000354,C1327279
GO:0000389,C1327280
GO:0000395,C1327281
GO:0000348,C1327282
GO:0050684,C1327284
GO:0050686,C1327285
GO:0050685,C1327286
GO:0048255,C1327287
GO:0050779,C1327288
GO:0000394,C1327289
GO:0000378,C1327290
GO:0000379,C1327291
GO:0000375,C1327292
GO:0000377,C1327293
GO:0000373,C1327294
GO:0000374,C1327295
GO:0000376,C1327296
GO:0000372,C1327297
GO:0042780,C1327298
GO:0042779,C1327299
GO:0042778,C1327300
GO:0050434,C1327302
GO:0042789,C1327303
GO:0042791,C1327304
GO:0042792,C1327305
GO:0042794,C1327306
GO:0042790,C1327307
GO:0042795,C1327308
GO:0042796,C1327309
GO:0042793,C1327310
GO:0030846,C1327311
GO:0042797,C1327313
GO:0042836,C1327314
GO:0042618,C1327315
GO:0042866,C1327316
GO:0042867,C1327317
GO:0046874,C1327318
GO:0046841,C1327319
GO:0046842,C1327320
GO:0042839,C1327321
GO:0050846,C1327322
GO:0042743,C1327323
GO:0050665,C1327324
GO:0042744,C1327325
GO:0001315,C1327326
GO:0050822,C1327327
GO:0050823,C1327328
GO:0046937,C1327329
GO:0046938,C1327330
GO:0042810,C1327331
GO:0048151,C1327332
GO:0018218,C1327333
GO:0050730,C1327334
GO:0050732,C1327335
GO:0050731,C1327336
GO:0050755,C1327337
GO:0050756,C1327338
GO:0050435,C1327339
GO:0042982,C1327340
GO:0050746,C1327341
GO:0050748,C1327342
GO:0050747,C1327343
GO:0010190,C1327344
GO:0046894,C1327345
GO:0050842,C1327346
GO:0046893,C1327347
GO:0050836,C1327348
GO:0046869,C1327349
GO:0050834,C1327350
GO:0050986,C1327351
GO:0046926,C1327352
GO:0046925,C1327353
GO:0046924,C1327354
GO:0048108,C1327355
GO:0048109,C1327356
GO:0050745,C1327357
GO:0050837,C1327358
GO:0050739,C1327359
GO:0048275,C1327360
GO:0050990,C1327361
GO:0046945,C1327362
GO:0050989,C1327363
GO:0050988,C1327364
GO:0046895,C1327365
GO:0046896,C1327366
GO:0046897,C1327367
GO:0046891,C1327368
GO:0046892,C1327369
GO:0050496,C1327370
GO:0050495,C1327371
GO:0050841,C1327372
GO:0018341,C1327374
GO:0050844,C1327375
GO:0046944,C1327377
GO:0035103,C1327378
GO:0050743,C1327379
GO:0050744,C1327380
GO:0050741,C1327381
GO:0050740,C1327382
GO:0050742,C1327383
GO:0006513,C1327384
GO:0000209,C1327385
GO:0050821,C1327386
GO:0043112,C1327387
GO:0042762,C1327388
GO:0010134,C1327389
GO:0042574,C1327390
GO:0042723,C1327391
GO:0042724,C1327392
GO:0042725,C1327393
GO:0042726,C1327394
GO:0042727,C1327395
GO:0042728,C1327396
GO:0042816,C1327397
GO:0042817,C1327398
GO:0042818,C1327399
GO:0032501,C1327400
GO:0046850,C1327401
GO:0046851,C1327402
GO:0046852,C1327403
GO:0097746,C1327404
GO:0043114,C1327405
GO:0043116,C1327406
GO:0043117,C1327407
GO:0010031,C1327408
GO:0046877,C1327409
GO:0046878,C1327410
GO:0042590,C1327411
GO:0019886,C1327412
GO:0001816,C1327413
GO:0050663,C1327414
GO:0050701,C1327415
GO:0050703,C1327416
GO:0050705,C1327417
GO:0050712,C1327418
GO:0050717,C1327419
GO:0050702,C1327420
GO:0050706,C1327421
GO:0050713,C1327422
GO:0050718,C1327423
GO:0050704,C1327424
GO:0050711,C1327425
GO:0050716,C1327426
GO:0050707,C1327427
GO:0050710,C1327428
GO:0050715,C1327429
GO:0001817,C1327430
GO:0001818,C1327431
GO:0001819,C1327432
GO:0035010,C1327433
GO:0016065,C1327438
GO:0048305,C1327439
GO:0050727,C1327440
GO:0050728,C1327441
GO:0050729,C1327442
GO:0001810,C1327443
GO:0001811,C1327444
GO:0001812,C1327445
GO:0001794,C1327446
GO:0001796,C1327447
GO:0001797,C1327448
GO:0001798,C1327449
GO:0001795,C1327450
GO:0001799,C1327451
GO:0001800,C1327452
GO:0001801,C1327453
GO:0001802,C1327454
GO:0001803,C1327455
GO:0001804,C1327456
GO:0001805,C1327457
GO:0050776,C1327458
GO:0050777,C1327459
GO:0050778,C1327460
GO:0042633,C1327461
GO:0042637,C1327462
GO:0042638,C1327463
GO:0042634,C1327464
GO:0042636,C1327465
GO:0042635,C1327466
GO:0018988,C1327468
GO:0042394,C1327470
GO:0050877,C1327471
GO:0050972,C1327472
GO:0050905,C1327473
GO:0050957,C1327474
GO:0050973,C1327475
GO:0050908,C1327476
GO:0050958,C1327477
GO:0050977,C1327478
GO:0050969,C1327479
GO:0050978,C1327480
GO:0050970,C1327481
GO:0050971,C1327483
GO:0050968,C1327485
GO:0050967,C1327486
GO:0050966,C1327487
GO:0050911,C1327489
GO:0001580,C1327490
GO:0001583,C1327491
GO:0001581,C1327492
GO:0001582,C1327493
GO:0050912,C1327494
GO:0046535,C1327495
GO:0050907,C1327496
GO:0050952,C1327497
GO:0050956,C1327498
GO:0050964,C1327499
GO:0050963,C1327500
GO:0050954,C1327503
GO:0009591,C1327503
GO:0050976,C1327506
GO:0050974,C1327507
GO:0050893,C1327511
GO:0050894,C1327512
GO:0050887,C1327513
GO:0050889,C1327514
