HPO,CUI
HP:0002072,C0008489
HP:0100768,C0008497
HP:0007777,C0008512
HP:0012424,C0008513
HP:0002282,C0008519
HP:0000610,C0008521
HP:0011887,C0008522
HP:0001139,C0008525
HP:0012123,C0008526
HP:0004469,C0008677
HP:0002257,C0008711
HP:0012281,C0008732
HP:0010310,C0008733
HP:0100699,C0008767
HP:0012265,C0008780
HP:0025253,C0008909
HP:0000204,C0008924
HP:0002169,C0009024
HP:0100759,C0009080
HP:0001762,C0009081
HP:0012199,C0009088
HP:0032249,C0009186
HP:0002583,C0009319
HP:0100279,C0009324
HP:0000589,C0009363
HP:0100273,C0009375
HP:0000551,C0009398
HP:0100834,C0009404
HP:0001259,C0009421
HP:0001334,C0009451
HP:0032301,C0009663
HP:0001289,C0009676
HP:0004414,C0009681
HP:0000519,C0009691
HP:0002612,C0009714
HP:0000509,C0009763
HP:0007879,C0009766
HP:0002019,C0009806
HP:0025142,C0009812
HP:0001371,C0009917
HP:0001371,C0009918
HP:0002373,C0009952
HP:0010774,C0009995
HP:0001131,C0010036
HP:0007957,C0010038
HP:0012804,C0010043
HP:0000495,C0010043
HP:0030882,C0010051
HP:0001677,C0010054
HP:0004929,C0010054
HP:0025497,C0010073
HP:0012735,C0010200
HP:0004439,C0010273
HP:0030062,C0010276
HP:0001363,C0010278
HP:0005458,C0010278
HP:0000851,C0010308
HP:0100280,C0010346
HP:0100778,C0010403
HP:0000028,C0010417
HP:0003118,C0010481
HP:0000973,C0010495
HP:0000961,C0010520
HP:0010959,C0010668
HP:0003131,C0010691
HP:0100577,C0010692
HP:0000620,C0010930
HP:0001305,C0010964
HP:0000365,C0011053
HP:0001699,C0011071
HP:0025013,C0011103
HP:0012399,C0011127
HP:0002015,C0011168
HP:0200136,C0011168
HP:0001944,C0011175
HP:0012005,C0011194
HP:0031258,C0011206
HP:0000746,C0011253
HP:0011088,C0011320
HP:0000670,C0011334
HP:0006297,C0011351
HP:0011060,C0011430
HP:0000703,C0011436
HP:0000716,C0011581
HP:0011123,C0011603
HP:0001019,C0011606
HP:0001047,C0011615
HP:0032282,C0011616
HP:0100324,C0011644
HP:0025247,C0011649
HP:0001651,C0011813
HP:0002623,C0011818
HP:0000873,C0011848
HP:0000819,C0011849
HP:0100651,C0011854
