HPO,CUI
HP:0002616,C1298820
HP:0007854,C1299694
HP:0030742,C1299892
HP:0100494,C1301149
HP:0001141,C1301509
HP:0030515,C1301510
HP:0001883,C1301937
HP:0001283,C1301959
HP:0011659,C1302264
HP:0012737,C1302645
HP:0031111,C1302724
HP:0001491,C1302995
HP:0009755,C1302999
HP:0012905,C1303001
HP:0031771,C1303002
HP:0000537,C1303003
HP:0031770,C1303004
HP:0001088,C1303007
HP:0007728,C1303009
HP:0005302,C1303076
HP:0031357,C1304511
HP:0000411,C1305420
HP:0011094,C1305740
HP:0031024,C1305968
HP:0032258,C1306038
HP:0007642,C1306122
HP:0008291,C1306214
HP:0006846,C1306587
HP:0000324,C1306710
HP:0006766,C1306837
HP:0010702,C1306857
HP:0004950,C1306889
HP:0005315,C1306889
HP:0100767,C1306893
HP:0012196,C1313952
HP:0000509,C1313983
HP:0003155,C1314665
HP:0000678,C1317785
HP:0011954,C1318485
HP:0025197,C1318562
HP:0012783,C1319016
HP:0012782,C1319017
HP:0030409,C1319314
HP:0040275,C1319315
HP:0012042,C1319853
HP:0100880,C1320468
HP:0031179,C1320474
HP:0007769,C1320640
HP:0007761,C1321308
HP:0000514,C1321329
HP:0003250,C1321884
HP:0000148,C1321884
HP:0025085,C1321898
HP:0008211,C1321907
HP:0011232,C1328339
HP:0008807,C1328407
HP:0004337,C1328440
HP:0000580,C1328514
HP:0007702,C1328514
HP:0031067,C1328577
HP:0003139,C1328587
HP:0011812,C1328618
HP:0001003,C1328931
HP:0030439,C1332259
HP:0030438,C1332262
HP:0030443,C1332269
HP:0030441,C1332270
HP:0009729,C1332852
HP:0007486,C1332863
HP:0006880,C1332900
HP:0031522,C1332912
HP:0100881,C1332965
HP:0006931,C1333160
HP:0030428,C1333178
HP:0031463,C1333467
HP:0031493,C1333820
HP:0002864,C1333944
HP:0031461,C1334260
HP:0010616,C1334444
HP:0030741,C1334682
HP:0200143,C1334688
HP:0031495,C1334811
HP:0031023,C1334828
HP:0004376,C1334953
HP:0011752,C1334957
HP:0031022,C1335141
HP:0031494,C1335168
HP:0100004,C1335381
HP:0012683,C1335411
HP:0031523,C1335906
HP:0410264,C1336518
HP:0031041,C1336532
HP:0006781,C1336750
HP:0011797,C1336839
HP:0006732,C1336840
HP:0030420,C1336975
HP:0100028,C1367111
HP:0030429,C1367536
HP:0031492,C1368683
HP:0009720,C1368816
HP:0009726,C1378703
HP:0030005,C1382398
HP:0030789,C1382811
HP:0011736,C1384514
HP:0008720,C1384582
HP:0011411,C1384586
HP:0007461,C1384590
HP:0011126,C1384594
HP:0030016,C1384606
HP:0008480,C1384641
HP:0000365,C1384666
HP:0001195,C1384670
HP:0040008,C1385254
HP:0001999,C1385263
HP:0001511,C1386048
HP:0031878,C1386091
HP:0004870,C1387532
HP:0000740,C1387805
HP:0040064,C1387925
HP:0004959,C1388233
HP:0040117,C1388953
HP:0000809,C1389003
HP:0006695,C1389016
HP:0001674,C1389018
HP:0006827,C1389102
HP:0003700,C1389113
HP:0009049,C1389118
HP:0002135,C1389280
HP:0030911,C1389795
HP:0000860,C1389851
HP:0031803,C1390166
HP:0011029,C1390214
HP:0002659,C1390474
HP:0030714,C1390676
HP:0010697,C1392099
HP:0010921,C1392104
HP:0011005,C1392669
HP:0005210,C1392839
HP:0008394,C1393669
HP:0005879,C1393871
HP:0008743,C1394030
HP:0100645,C1394494
HP:0005222,C1394691
HP:0032515,C1395264
HP:0005222,C1395674
HP:0001177,C1395852
HP:0011127,C1396126
HP:0001984,C1396243
HP:0006976,C1396481
HP:0005349,C1396772
HP:0002172,C1397014
HP:0031779,C1397043
HP:0005462,C1397139
HP:0006552,C1397290
HP:0010290,C1398301
HP:0000189,C1398312
HP:0000413,C1398325
HP:0040161,C1398367
HP:0002744,C1398522
HP:0010289,C1398533
HP:0012682,C1398718
HP:0031164,C1399128
HP:0005323,C1399354
HP:0005363,C1399819
HP:0030711,C1399870
HP:0000448,C1400105
HP:0009740,C1400252
HP:0031778,C1400473
HP:0005309,C1401086
HP:0010812,C1401781
HP:0100802,C1402983
HP:0001031,C1403035
HP:0003042,C1403299
HP:0003042,C1403321
HP:0011093,C1404304
HP:0003797,C1404521
HP:0003974,C1405984
HP:0005830,C1406835
HP:0006644,C1406921
HP:0030263,C1407019
HP:0000112,C1408258
HP:0000623,C1408507
HP:0005632,C1408532
HP:0007886,C1408781
HP:0009892,C1408788
HP:0005103,C1408806
HP:0030314,C1409412
HP:0031309,C1410868
HP:0002442,C1411876
HP:0030442,C1412037
HP:0011948,C1442786
HP:0001700,C1442837
HP:0100777,C1442903
HP:0004299,C1442978
HP:0008726,C1442988
HP:0100672,C1442998
HP:0031730,C1443296
HP:0500050,C1443381
HP:0500051,C1443382
HP:0500052,C1443383
HP:0500053,C1443384
HP:0500056,C1443385
HP:0100645,C1444215
HP:0012413,C1444627
HP:0031757,C1444631
HP:0025602,C1444632
HP:0025204,C1444748
HP:0025281,C1444775
HP:0000817,C1445953
HP:0010557,C1446712
HP:0012442,C1449631
HP:0001357,C1450010
HP:0008198,C1455734
HP:0025303,C1455761
HP:0025024,C1456333
HP:0100674,C1456401
HP:0011999,C1456784
HP:0011412,C1456852
HP:0001892,C1458140
HP:0100013,C1458155
HP:0032281,C1504319
HP:0025569,C1504336
HP:0004964,C1504382
HP:0002493,C1504405
HP:0025419,C1504436
HP:0012492,C1504438
HP:0012494,C1504567
HP:0012493,C1504568
HP:0012495,C1504569
HP:0012315,C1509147
HP:0031625,C1510412
HP:0032144,C1510416
HP:0010521,C1510417
HP:0012181,C1510429
HP:0002638,C1510431
HP:0000518,C1510497
HP:0000729,C1510586
HP:0040096,C1512779
HP:0030406,C1514428
HP:0009711,C1514915
HP:0000030,C1515283
HP:0000149,C1518716
HP:0002918,C1522135
HP:0003771,C1527284
HP:0002181,C1527311
HP:0001618,C1527344
HP:0002465,C1527347
HP:0011097,C1527366
HP:0012344,C1527383
HP:0009775,C1527388
HP:0001901,C1527405
HP:0010875,C1531651
HP:0500091,C1531935
HP:0030180,C1532837
HP:0008007,C1533041
HP:0003756,C1533847
HP:0012139,C1534864
HP:0020102,C1535939
HP:0004386,C1535950
HP:0002677,C1535953
HP:0012238,C1535978
HP:0031609,C1536085
HP:0011420,C1546180
HP:0025500,C1556380
HP:0025501,C1556381
HP:0005184,C1560305
HP:0012622,C1561643
HP:0032107,C1561989
HP:0030961,C1562061
HP:0032513,C1562363
HP:0011859,C1562761
HP:0030002,C1563118
HP:0030661,C1563272
HP:0008188,C1563716
HP:0000083,C1565489
HP:0000113,C1567435
HP:0008081,C1578482
HP:0002599,C1608410
HP:0010958,C1609433
HP:0032505,C1609481
HP:0002111,C1609528
HP:0000068,C1610065
HP:0030807,C1610609
HP:0001717,C1611184
HP:0008005,C1611195
HP:0000110,C1619700
HP:0002604,C1619711
HP:0008221,C1621895
HP:0012174,C1621958
HP:0011527,C1622439
HP:0030064,C1622510
HP:0012594,C1654921
HP:0030881,C1655733
HP:0002795,C1659989
HP:0025265,C1660792
HP:0003244,C1691215
HP:0008422,C1695776
HP:0031984,C1695984
HP:0006559,C1696466
HP:0012166,C1696701
HP:0007930,C1697450
HP:0007420,C1697453
HP:0003484,C1698196
HP:0004755,C1698480
HP:0040139,C1704214
HP:0032225,C1704236
HP:0032228,C1704237
HP:0008711,C1704272
HP:0001336,C1704276
HP:0002745,C1704317
HP:0031454,C1704335
HP:0030038,C1704356
HP:0004912,C1704375
HP:0008341,C1704380
HP:0003111,C1704431
HP:0007476,C1706004
HP:0500008,C1706559
HP:0011673,C1707298
HP:0007437,C1708350
HP:0005152,C1708371
HP:0000005,C1708511
HP:0010603,C1708604
HP:0004848,C1709527
HP:0031788,C1719796
HP:0500087,C1719838
HP:0000605,C1720037
HP:0002131,C1720189
HP:0031789,C1720245
HP:0100832,C1720491
HP:0007703,C1720508
HP:0031526,C1720732
HP:0000034,C1720771
HP:0100673,C1720771
HP:0007559,C1721006
HP:0011638,C1735886
HP:0004850,C1735901
HP:0012468,C1735903
HP:0011275,C1737260
HP:0032438,C1739105
HP:0011665,C1739395
HP:0002267,C1740801
HP:0011675,C1744601
HP:0030953,C1761613
HP:0011367,C1768507
HP:0002922,C1806780
HP:0005968,C1820737
HP:0008717,C1827184
HP:0030496,C1827223
HP:0030283,C1827299
HP:0006610,C1827524
HP:0100698,C1827970
HP:0004879,C1828017
HP:0011504,C1828210
HP:0100703,C1829460
HP:0005792,C1832117
HP:0003038,C1832119
HP:0000321,C1832127
HP:0000205,C1832130
HP:0004980,C1832146
HP:0004370,C1832160
HP:0000584,C1832170
HP:0003427,C1832276
HP:0003392,C1832277
HP:0003426,C1832278
HP:0003435,C1832279
HP:0008866,C1832323
HP:0005390,C1832324
HP:0003447,C1832338
HP:0006916,C1832339
HP:0004696,C1832342
HP:0002217,C1832348
HP:0005130,C1832374
HP:0011142,C1832423
HP:0045075,C1832446
HP:0004437,C1832451
HP:0007515,C1832454
HP:0007387,C1832455
HP:0008441,C1832597
HP:0008450,C1832598
HP:0007299,C1832671
HP:0001604,C1832690
HP:0009372,C1832702
HP:0003382,C1832776
HP:0008529,C1832834
HP:0004599,C1832983
HP:0005054,C1832988
HP:0007404,C1833030
HP:0008163,C1833054
HP:0011473,C1833058
HP:0010693,C1833118
HP:0002987,C1833142
HP:0003100,C1833144
HP:0005033,C1833145
HP:0032524,C1833148
HP:0006358,C1833168
HP:0002963,C1833172
HP:0002971,C1833173
HP:0005537,C1833182
HP:0001218,C1833222
HP:0001810,C1833225
HP:0000743,C1833297
HP:0006463,C1833323
HP:0002752,C1833324
HP:0002753,C1833325
HP:0006462,C1833326
HP:0010580,C1833328
HP:0003013,C1833329
HP:0003152,C1833331
HP:0004443,C1833340
HP:0006979,C1833362
HP:0012321,C1833429
HP:0002416,C1833431
HP:0007052,C1833434
HP:0005428,C1833487
HP:0010639,C1833667
HP:0008672,C1833683
HP:0001495,C1833734
HP:0006234,C1833735
HP:0005045,C1833739
HP:0032538,C1833746
HP:0002757,C1833752
HP:0003321,C1833753
HP:0005005,C1833754
HP:0005474,C1833762
HP:0006441,C1833878
HP:0006055,C1833881
HP:0006169,C1833882
HP:0000580,C1833999
HP:0001146,C1833999
HP:0003744,C1834002
HP:0007838,C1834015
HP:0009656,C1834032
HP:0009161,C1834034
HP:0004660,C1834042
HP:0008605,C1834043
HP:0000430,C1834055
HP:0004495,C1834056
HP:0008442,C1834057
HP:0004220,C1834060
HP:0009779,C1834062
HP:0007510,C1834069
HP:0005409,C1834098
HP:0000414,C1834118
HP:0000914,C1834124
HP:0003468,C1834129
HP:0001528,C1834167
HP:0006851,C1834236
HP:0030052,C1834297
HP:0005207,C1834341
HP:0006465,C1834345
HP:0006051,C1834347
HP:0006175,C1834348
HP:0008074,C1834349
HP:0006650,C1834383
HP:0006633,C1834384
HP:0006657,C1834386
HP:0008034,C1834387
HP:0006437,C1834392
HP:0002164,C1834405
HP:0006769,C1834421
HP:0005587,C1834424
HP:0008770,C1834433
HP:0009005,C1834536
HP:0005534,C1834582
HP:0008376,C1834664
HP:0002600,C1834696
HP:0006758,C1834728
HP:0010621,C1834737
HP:0010664,C1834930
HP:0000800,C1834931
HP:0004384,C1834934
HP:0004619,C1834953
HP:0003417,C1834954
HP:0006172,C1834961
HP:0008833,C1834975
HP:0006208,C1834980
HP:0004676,C1834993
HP:0003610,C1835008
HP:0000675,C1835095
HP:0006095,C1835101
HP:0007800,C1835117
HP:0003088,C1835121
HP:0005136,C1835130
HP:0007776,C1835148
HP:0200102,C1835157
HP:0005567,C1835171
HP:0007074,C1835194
HP:0003550,C1835228
HP:0001004,C1835229
HP:0008383,C1835238
HP:0007448,C1835253
HP:0032344,C1835255
HP:0008739,C1835380
HP:0009002,C1835384
HP:0008985,C1835389
HP:0008993,C1835390
HP:0005451,C1835442
HP:0004591,C1835444
HP:0200083,C1835446
HP:0008724,C1835452
HP:0005477,C1835470
HP:0005019,C1835473
HP:0008434,C1835570
HP:0006067,C1835573
HP:0008127,C1835574
HP:0000896,C1835579
HP:0001530,C1835580
HP:0005039,C1835583
HP:0007595,C1835587
HP:0008038,C1835602
HP:0007497,C1835654
HP:0005406,C1835686
HP:0001566,C1835762
HP:0002948,C1835763
HP:0008438,C1835764
HP:0004736,C1835796
HP:0005218,C1835798
HP:0007655,C1835801
HP:0011231,C1835802
HP:0001212,C1835807
HP:0410246,C1835869
HP:0004819,C1835875
HP:0006564,C1835881
HP:0006268,C1835882
HP:0000325,C1835884
HP:0003831,C1835978
HP:0008945,C1835993
HP:0008972,C1835995
HP:0001349,C1836003
HP:0007054,C1836012
HP:0002267,C1836014
HP:0025480,C1836022
HP:0002421,C1836038
HP:0000276,C1836047
HP:0003555,C1836057
HP:0003577,C1836142
HP:0002530,C1836149
HP:0002141,C1836150
HP:0002439,C1836151
HP:0009073,C1836156
HP:0007166,C1836174
HP:0100864,C1836184
HP:0002990,C1836186
HP:0005028,C1836187
HP:0009466,C1836189
HP:0005914,C1836192
HP:0005048,C1836193
HP:0001831,C1836195
HP:0009177,C1836212
HP:0008362,C1836213
HP:0010064,C1836216
HP:0004231,C1836219
HP:0007911,C1836264
HP:0007340,C1836296
HP:0002761,C1836308
HP:0003411,C1836320
HP:0000641,C1836392
HP:0000617,C1836393
HP:0002151,C1836440
HP:0009053,C1836450
HP:0008944,C1836451
HP:0001152,C1836479
HP:0010818,C1836508
HP:0010819,C1836509
HP:0006812,C1836525
HP:0003409,C1836527
HP:0006984,C1836527
HP:0003461,C1836533
HP:0005280,C1836542
HP:0012471,C1836543
HP:0002376,C1836550
HP:0002218,C1836576
HP:0003184,C1836589
HP:0003829,C1836598
HP:0004488,C1836599
HP:0004470,C1836600
HP:0009063,C1836609
HP:0008163,C1836623
HP:0010648,C1836646
HP:0004955,C1836651
HP:0004933,C1836653
HP:0004227,C1836674
HP:0004452,C1836678
HP:0002868,C1836688
HP:0002395,C1836696
HP:0001053,C1836735
HP:0002227,C1836736
HP:0002226,C1836737
HP:0004463,C1836742
HP:0001963,C1836752
HP:0008956,C1836767
HP:0006203,C1836772
HP:0004938,C1836791
HP:0040196,C1836806
HP:0006834,C1836829
HP:0002376,C1836830
HP:0012391,C1836835
HP:0002361,C1836842
HP:0002505,C1836843
HP:0003208,C1836851
HP:0003205,C1836852
HP:0001922,C1836855
HP:0100865,C1836868
HP:0006369,C1836870
HP:0008076,C1836872
HP:0004699,C1836873
HP:0007774,C1836890
HP:0005340,C1836904
HP:0002579,C1836923
HP:0007737,C1836926
HP:0002562,C1836933
HP:0000474,C1836940
HP:0007782,C1836948
HP:0001519,C1836996
HP:0006962,C1837016
HP:0004429,C1837066
HP:0008821,C1837078
HP:0002982,C1837081
HP:0003021,C1837082
HP:0010049,C1837084
HP:0008002,C1837087
HP:0003388,C1837098
HP:0003199,C1837108
HP:0002033,C1837142
HP:0007229,C1837246
HP:0007023,C1837247
HP:0002269,C1837249
HP:0006799,C1837251
HP:0001403,C1837256
HP:0006561,C1837257
HP:0011220,C1837260
HP:0009058,C1837262
HP:0008293,C1837273
HP:0001800,C1837279
HP:0009072,C1837323
HP:0011463,C1837352
HP:0008708,C1837379
HP:0008733,C1837380
HP:0001510,C1837385
HP:0002793,C1837388
HP:0011344,C1837397
HP:0005469,C1837402
HP:0002705,C1837404
HP:0009824,C1837406
HP:0006466,C1837407
HP:0007772,C1837458
HP:0000275,C1837463
HP:0007407,C1837467
HP:0005257,C1837482
HP:0000922,C1837483
HP:0003180,C1837485
HP:0008794,C1837487
HP:0040078,C1837496
HP:0002472,C1837503
HP:0009019,C1837510
HP:0005421,C1837512
HP:0003812,C1837514
HP:0006944,C1837520
HP:0007328,C1837522
HP:0000063,C1837532
HP:0002661,C1837602
HP:0001226,C1837603
HP:0005964,C1837639
HP:0000728,C1837649
HP:0000721,C1837650
HP:0000732,C1837653
HP:0002194,C1837658
HP:0004622,C1837670
HP:0000396,C1837731
HP:0000391,C1837732
HP:0007933,C1837733
HP:0000905,C1837757
HP:0000320,C1837758
HP:0000520,C1837760
HP:0000418,C1837761
HP:0005995,C1837763
HP:0003635,C1837764
HP:0000292,C1837767
HP:0008070,C1837770
HP:0009003,C1837781
HP:0001015,C1837785
HP:0000877,C1837792
HP:0001544,C1837795
HP:0003716,C1837799
HP:0003292,C1837802
HP:0000652,C1837826
HP:0005036,C1837832
HP:0001776,C1837835
HP:0004692,C1837836
HP:0005285,C1837888
HP:0003642,C1837899
HP:0002546,C1838027
HP:0011158,C1838063
HP:0012132,C1838111
HP:0009055,C1838114
HP:0004535,C1838123
HP:0001232,C1838167
HP:0003177,C1838186
HP:0002476,C1838319
HP:0000710,C1838320
HP:0002509,C1838391
HP:0002448,C1838578
HP:0002200,C1838579
HP:0003974,C1838608
HP:0010035,C1838610
HP:0000886,C1838659
HP:0003025,C1838662
HP:0003020,C1838663
HP:0003029,C1838664
HP:0003678,C1838681
HP:0001545,C1838705
HP:0007117,C1838868
HP:0003701,C1838869
HP:0009069,C1838876
HP:0003652,C1838877
HP:0002572,C1838993
HP:0000654,C1839025
HP:0012507,C1839030
HP:0003812,C1839039
HP:0002493,C1839042
HP:0005494,C1839126
HP:0004854,C1839167
HP:0000914,C1839248
HP:0004594,C1839252
HP:0003090,C1839254
HP:0005580,C1839269
HP:0003517,C1839271
HP:0000216,C1839276
HP:0009101,C1839277
HP:0008416,C1839279
HP:0006176,C1839285
HP:0005407,C1839304
HP:0005415,C1839305
HP:0000331,C1839323
HP:0003312,C1839326
HP:0005135,C1839341
HP:0007667,C1839362
HP:0000529,C1839364
HP:0003348,C1839424
HP:0004900,C1839436
HP:0004925,C1839437
HP:0005423,C1839458
HP:0002737,C1839507
HP:0006389,C1839512
HP:0002038,C1839531
HP:0003572,C1839532
HP:0003217,C1839533
HP:0001951,C1839541
HP:0000308,C1839546
HP:0000114,C1839603
HP:0000083,C1839604
HP:0003126,C1839606
HP:0006829,C1839630
HP:0004631,C1839653
HP:0003707,C1839666
HP:0000878,C1839731
HP:0000179,C1839739
HP:0000749,C1839749
HP:0000341,C1839758
HP:0000431,C1839764
HP:0000451,C1839765
HP:0010804,C1839767
HP:0002050,C1839782
HP:0002003,C1839783
HP:0003564,C1839785
HP:0002002,C1839797
HP:0003189,C1839798
HP:0000472,C1839816
HP:0004611,C1839822
HP:0009882,C1839829
HP:0011335,C1839830
HP:0012817,C1839832
HP:0007109,C1839858
HP:0004639,C1839860
HP:0030044,C1839864
HP:0003646,C1839865
HP:0003148,C1839866
HP:0002928,C1839888
HP:0001571,C1839965
HP:0012178,C1839969
HP:0003496,C1839972
HP:0008883,C1840006
HP:0003462,C1840013
HP:0003465,C1840014
HP:0008801,C1840062
HP:0003065,C1840068
HP:0001852,C1840069
HP:0000463,C1840077
HP:0008953,C1840086
HP:0002984,C1840087
HP:0006248,C1840088
HP:0006064,C1840089
HP:0006355,C1840225
HP:0006315,C1840235
HP:0100789,C1840236
HP:0010644,C1840238
HP:0000413,C1840305
HP:0006402,C1840307
HP:0010044,C1840309
HP:0007601,C1840310
HP:0008751,C1840311
HP:0005989,C1840319
HP:0005967,C1840372
HP:0004421,C1840374
HP:0005117,C1840375
HP:0004972,C1840376
HP:0001320,C1840379
HP:0002389,C1840380
HP:0000069,C1840382
HP:0008696,C1840396
HP:0005890,C1840404
HP:0000935,C1840418
HP:0006174,C1840419
HP:0008114,C1840420
HP:0030673,C1840452
HP:0025573,C1840455
HP:0007722,C1840457
HP:0006837,C1840475
HP:0001191,C1840535
HP:0003778,C1841648
HP:0001678,C1841659
HP:0005178,C1841661
HP:0008740,C1841680
HP:0001216,C1841684
HP:0010584,C1841685
HP:0012386,C1841686
HP:0010105,C1841688
HP:0012147,C1841816
HP:0003250,C1841990
HP:0005563,C1841994
HP:0002910,C1842003
HP:0005600,C1842036
HP:0000336,C1842060
HP:0030511,C1842073
HP:0000772,C1842083
HP:0000913,C1842084
HP:0001730,C1842138
HP:0003301,C1842153
HP:0100861,C1842154
HP:0003370,C1842155
HP:0003704,C1842161
HP:0003697,C1842162
HP:0003687,C1842170
HP:0001230,C1842229
HP:0001783,C1842231
HP:0011398,C1842364
HP:0000294,C1842366
HP:0008205,C1842404
HP:0005213,C1842406
HP:0002894,C1842408
HP:0002959,C1842528
HP:0003797,C1842552
HP:0001273,C1842581
HP:0000570,C1842584
HP:0003390,C1842587
HP:0000385,C1842680
HP:0008589,C1842681
HP:0002365,C1842688
HP:0006615,C1842695
HP:0030282,C1842696
HP:0008435,C1842698
HP:0007549,C1842714
HP:0001034,C1842774
HP:0200117,C1842777
HP:0031546,C1842820
HP:0011675,C1842820
HP:0000457,C1842876
HP:0009237,C1842878
HP:0011276,C1842892
HP:0000561,C1843005
HP:0008981,C1843057
HP:0003481,C1843077
HP:0006438,C1843105
HP:0004279,C1843108
HP:0001821,C1843112
HP:0002372,C1843146
HP:0000408,C1843156
HP:0004336,C1843168
HP:0007233,C1843169
HP:0007350,C1843175
HP:0001604,C1843187
HP:0006006,C1843228
HP:0004729,C1843274
HP:0004713,C1843276
HP:0007548,C1843294
HP:0000653,C1843300
HP:0005789,C1843331
HP:0040162,C1843359
HP:0001249,C1843367
HP:0000511,C1843369
HP:0003349,C1843371
HP:0003464,C1843372
HP:0003640,C1843373
HP:0002972,C1843386
HP:0001008,C1843389
HP:0002220,C1843390
HP:0003819,C1843392
HP:0002207,C1843428
HP:0003202,C1843479
HP:0007964,C1843486
HP:0004478,C1843495
HP:0007633,C1843496
HP:0002398,C1843505
HP:0006850,C1843507
HP:0001136,C1843517
HP:0030051,C1843570
HP:0003722,C1843637
HP:0002877,C1843643
HP:0002839,C1843663
HP:0002690,C1843677
HP:0003327,C1843697
HP:0003557,C1843700
HP:0007064,C1843793
HP:0007344,C1843858
HP:0003434,C1843859
HP:0001751,C1843865
HP:0007240,C1843885
HP:0007792,C1843892
HP:0025402,C1843893
HP:0002172,C1843921
HP:0006432,C1843983
HP:0008117,C1843985
HP:0008144,C1843986
HP:0001412,C1843995
HP:0007016,C1844007
HP:0001934,C1844374
HP:0001400,C1844380
HP:0003553,C1844382
HP:0002718,C1844383
HP:0002841,C1844384
HP:0002723,C1844385
HP:0003514,C1844390
HP:0003206,C1844394
HP:0000307,C1844505
HP:0002700,C1844508
HP:0003779,C1844509
HP:0004608,C1844512
HP:0006440,C1844516
HP:0006207,C1844519
HP:0008097,C1844520
HP:0000060,C1844527
HP:0006638,C1844529
HP:0006608,C1844530
HP:0003191,C1844537
HP:0009381,C1844548
HP:0001817,C1844554
HP:0001802,C1844555
HP:0010747,C1844562
HP:0012774,C1844571
HP:0002055,C1844572
HP:0009748,C1844573
HP:0001187,C1844577
HP:0000977,C1844592
HP:0000993,C1844597
HP:0000607,C1844605
HP:0001106,C1844606
HP:0007411,C1844617
HP:0007592,C1844618
HP:0005212,C1844632
HP:0001955,C1844662
HP:0002958,C1844666
HP:0003276,C1844689
HP:0003066,C1844690
HP:0010559,C1844702
HP:0000926,C1844704
HP:0006381,C1844706
HP:0004986,C1844706
HP:0009467,C1844709
HP:0008087,C1844712
HP:0012813,C1844722
HP:0005278,C1844731
HP:0200053,C1844734
HP:0001060,C1844738
HP:0007858,C1844751
HP:0003316,C1844752
HP:0003305,C1844753
HP:0004325,C1844806
HP:0009928,C1844809
HP:0009746,C1844810
HP:0000687,C1844813
HP:0008454,C1844818
HP:0001382,C1844820
HP:0006129,C1844822
HP:0001812,C1844825
HP:0004241,C1844846
HP:0008131,C1844848
HP:0000420,C1844857
HP:0009464,C1844891
HP:0001500,C1844906
HP:0005437,C1844909
HP:0004913,C1844917
HP:0008687,C1844923
HP:0008445,C1844925
HP:0008478,C1844926
HP:0004885,C1844945
HP:0004881,C1844946
HP:0001522,C1844947
HP:0002470,C1845029
HP:0002054,C1845107
HP:0002708,C1845108
HP:0002711,C1845109
HP:0001566,C1845110
HP:0001593,C1845111
HP:0008935,C1845123
HP:0005466,C1845147
HP:0008305,C1845155
HP:0000117,C1845169
HP:0003351,C1845206
HP:0006895,C1845245
HP:0000350,C1845250
HP:0000297,C1845251
HP:0007316,C1845265
HP:0000395,C1845272
HP:0000549,C1845274
HP:0002332,C1845337
HP:0007065,C1845369
HP:0006951,C1845370
HP:0000378,C1845447
HP:0005254,C1845576
HP:0007274,C1845604
HP:0032407,C1845668
HP:0005464,C1845805
HP:0000280,C1845847
HP:0007057,C1845864
HP:0006316,C1845878
HP:0001419,C1845977
HP:0000339,C1846011
HP:0009042,C1846013
HP:0008075,C1846017
HP:0000866,C1846034
HP:0011406,C1846061
HP:0007207,C1846131
HP:0006794,C1846133
HP:0006887,C1846149
HP:0012704,C1846151
HP:0000907,C1846154
HP:0008789,C1846157
HP:0006423,C1846160
HP:0006801,C1846176
HP:0000835,C1846223
HP:0004319,C1846226
HP:0008197,C1846228
HP:0007733,C1846266
HP:0001988,C1846288
HP:0008796,C1846339
HP:0000841,C1846345
HP:0000127,C1846347
HP:0000128,C1846348
HP:0005579,C1846349
HP:0003081,C1846351
HP:0002914,C1846352
HP:0032051,C1846385
HP:0005608,C1846422
HP:0000215,C1846423
HP:0000884,C1846433
HP:0000882,C1846434
HP:0003521,C1846435
HP:0002681,C1846437
HP:0002692,C1846438
HP:0003311,C1846439
HP:0003274,C1846442
HP:0008829,C1846446
HP:0008835,C1846447
HP:0010582,C1846449
HP:0008588,C1846459
HP:0000356,C1846460
HP:0008572,C1846460
HP:0000634,C1846462
HP:0000542,C1846463
HP:0009921,C1846464
HP:0000661,C1846465
HP:0010048,C1846473
HP:0001245,C1846474
HP:0008998,C1846477
HP:0009016,C1846478
HP:0005425,C1846546
HP:0005419,C1846550
HP:0005384,C1846551
HP:0002314,C1846566
HP:0006813,C1846620
HP:0003733,C1846674
HP:0032341,C1846678
HP:0003498,C1846797
HP:0003308,C1846798
HP:0010585,C1846803
HP:0001928,C1846821
HP:0007181,C1846829
HP:0008103,C1846853
HP:0011960,C1846865
HP:0002548,C1846868
HP:0001477,C1846911
HP:0005819,C1846950
HP:0009449,C1846950
HP:0002198,C1847117
HP:0007000,C1847164
HP:0007193,C1847165
HP:0011835,C1847189
HP:0004253,C1847190
HP:0006106,C1847191
HP:0006821,C1847356
HP:0006712,C1847363
HP:0002849,C1847383
HP:0005986,C1847392
HP:0008483,C1847393
HP:0004575,C1847394
HP:0005185,C1847397
HP:0005872,C1847408
HP:0004924,C1847425
HP:0011973,C1847507
HP:0007704,C1847515
HP:0000484,C1847524
HP:0002936,C1847584
HP:0007409,C1847588
HP:0002549,C1847609
HP:0002474,C1847610
HP:0002350,C1847762
HP:0003724,C1847766
HP:0002909,C1847868
HP:0410277,C1847878
HP:0001423,C1847879
HP:0007986,C1847882
HP:0007434,C1847884
HP:0005314,C1847886
HP:0003383,C1847906
HP:0003275,C1848103
HP:0003988,C1848108
HP:0003085,C1848109
HP:0008730,C1848178
HP:0040314,C1848182
HP:0002550,C1848192
HP:0032409,C1848201
HP:0002465,C1848207
HP:0006783,C1848389
HP:0001520,C1848395
HP:0000804,C1848431
HP:0003320,C1848446
HP:0002275,C1848453
HP:0200122,C1848456
HP:0010838,C1848459
HP:0000346,C1848473
HP:0000211,C1848474
HP:0005177,C1848486
HP:0000520,C1848490
HP:0004689,C1848514
HP:0007308,C1848528
HP:0012110,C1848529
HP:0007772,C1848530
HP:0000893,C1848538
HP:0003658,C1848555
HP:0003145,C1848556
HP:0003210,C1848579
HP:0003524,C1848580
HP:0100260,C1848595
HP:0006145,C1848597
HP:0001756,C1848606
HP:0002436,C1848652
HP:0003252,C1848653
HP:0000885,C1848654
HP:0400004,C1848657
HP:0008817,C1848660
HP:0009767,C1848670
HP:0008363,C1848671
HP:0001773,C1848673
HP:0003161,C1848678
HP:0003607,C1848680
HP:0006949,C1848695
